CODRE;NOMRE;NIVEL;COD_TCE;CODRENUMERO;NOMREC;VALIDO;TIPO;IMPORTADO;CODRE_ORIGEM;ENVIADO_TCE;CONTA_SICONFI;CORRELACIONADO;ALTERADO_TCE;N1;N2;N3;N4;N5;N6;N7;N8;N9;N10;PERMITE_DESDOBRO;N11;CONTA_MATRIZ;EXCLUIDO;PK_RECTAB;DB;
1112.01.1.7.00.00;ITR - MUNICÍPIOS CONVENIADO-DÍVIDA ATIVA MULTAS;7;;111201170000;IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL – MUNICÍPIOS CONVENIADOS – DÍVIDA ATIVA – MULTAS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1112.01.1.7.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.01.0.0.00.00;1112.01.1.0.00.00;1112.01.1.7.00.00;1112.01.1.7.00.00;1112.01.1.7.00.00;;;;;;24000000000000185;1;
1112.01.1.8.00.00;ITR - MUNICÍPIOS CONVENIADO-  DÍVIDA ATIVA JUROS;7;;111201180000;IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL – MUNICÍPIOS CONVENIADOS – DÍVIDA ATIVA – JUROS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1112.01.1.8.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.01.0.0.00.00;1112.01.1.0.00.00;1112.01.1.8.00.00;1112.01.1.8.00.00;1112.01.1.8.00.00;;;;;;24000000000000186;1;
1112.50.0.0.00.00;IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA;5;;111250000000;IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA;S;S;S;1112.50.0.0.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.50.0.0.00.00;1112.50.0.0.00.00;1112.50.0.0.00.00;1112.50.0.0.00.00;1112.50.0.0.00.00;;;;;;24000000000000187;1;
1112.50.0.1.00.00;IPTU - PRINCIPAL;7;;111250010000;IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA – PRINCIPAL;S;A;S;1112.50.0.1.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.50.0.0.00.00;1112.50.0.0.00.00;1112.50.0.1.00.00;1112.50.0.1.00.00;1112.50.0.1.00.00;;S;;11125001;;24000000000000188;1;
1112.50.0.1.01.00;IPTU - Imp. Predial e Territorial  Urbana Principa;8;;111250010100;IPTU - Imp. Predial e Territorial  Urbana Principa;S;A;N;1112.50.0.1.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.50.0.0.00.00;1112.50.0.0.00.00;1112.50.0.1.00.00;1112.50.0.1.01.00;1112.50.0.1.01.00;;;;;;24000000000000001;1;
1112.50.0.1.02.00;IPTU - Receitas a Classificar;8;;111250010200;IPTU - Receitas a Classificar;S;A;N;1112.50.0.1.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.50.0.0.00.00;1112.50.0.0.00.00;1112.50.0.1.00.00;1112.50.0.1.02.00;1112.50.0.1.02.00;;;;;;24000000000000099;1;
1112.50.0.2.00.00;IPTU - MULTAS E JUROS;7;;111250020000;IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA – MULTAS E JUROS;S;A;S;1112.50.0.2.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.50.0.0.00.00;1112.50.0.0.00.00;1112.50.0.2.00.00;1112.50.0.2.00.00;1112.50.0.2.00.00;;S;;11125002;;24000000000000189;1;
1112.50.0.2.01.00;IPTU -  Multas e Juros;8;;111250020100;IPTU -  Multas e Juros;S;A;N;1112.50.0.2.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.50.0.0.00.00;1112.50.0.0.00.00;1112.50.0.2.00.00;1112.50.0.2.01.00;1112.50.0.2.01.00;;;;;;24000000000000002;1;
1112.50.0.3.00.00;IPTU - DIVIDA ATIVA;7;;111250030000;IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA – DÍVIDA ATIVA;S;A;S;1112.50.0.3.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.50.0.0.00.00;1112.50.0.0.00.00;1112.50.0.3.00.00;1112.50.0.3.00.00;1112.50.0.3.00.00;;S;;11125003;;24000000000000190;1;
1112.50.0.3.01.00;IPTU -  Divida Ativa;8;;111250030100;IPTU -  Divida Ativa;S;A;N;1112.50.0.3.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.50.0.0.00.00;1112.50.0.0.00.00;1112.50.0.3.00.00;1112.50.0.3.01.00;1112.50.0.3.01.00;;;;;;24000000000000003;1;
1112.50.0.4.00.00;IPTU- DIVIDA ATIVA MULTAS JUROS;7;;111250040000;IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA – DÍVIDA ATIVA – MULTAS E JUROS;S;A;S;1112.50.0.4.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.50.0.0.00.00;1112.50.0.0.00.00;1112.50.0.4.00.00;1112.50.0.4.00.00;1112.50.0.4.00.00;;S;;11125004;;24000000000000191;1;
1112.50.0.4.01.01;IPTU - Divida Ativa - Multas e Juros;9;;111250040101;IPTU - Divida Ativa - Multas e Juros;S;A;N;1112.50.0.4.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.50.0.0.00.00;1112.50.0.0.00.00;1112.50.0.4.00.00;1112.50.0.4.01.00;1112.50.0.4.01.01;;;;;;24000000000000004;1;
1112.50.0.4.01.02;IPTU - Divida Ativa - Multas e Juros - (Inscrita);9;;111250040102;IPTU - Divida Ativa - Multas e Juros - (Inscrita);S;A;N;1112.50.0.4.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.50.0.0.00.00;1112.50.0.0.00.00;1112.50.0.4.00.00;1112.50.0.4.01.00;1112.50.0.4.01.02;;;;;;24000000000000005;1;
1112.50.0.4.03.00;Atualização Monetaria Div. Ativa do IPTU (INSCRITO;8;;111250040300;Atualização Monetaria Div. Ativa do IPTU (INSCRITO;S;A;N;1112.50.0.4.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.50.0.0.00.00;1112.50.0.0.00.00;1112.50.0.4.00.00;1112.50.0.4.03.00;1112.50.0.4.03.00;;;;;;24000000000000100;1;
1112.50.0.4.04.00;Divida Ativa IPTU Atualização Monetaria (Atraso);8;;111250040400;Divida Ativa IPTU Atualização Monetaria (Atraso);S;A;N;1112.50.0.4.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.50.0.0.00.00;1112.50.0.0.00.00;1112.50.0.4.00.00;1112.50.0.4.04.00;1112.50.0.4.04.00;;;;;;24000000000000101;1;
1112.50.0.5.00.00;IPTU - MULTAS;7;;111250050000;IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA – MULTAS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1112.50.0.5.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.50.0.0.00.00;1112.50.0.0.00.00;1112.50.0.5.00.00;1112.50.0.5.00.00;1112.50.0.5.00.00;;;;;;24000000000000192;1;
1112.50.0.6.00.00;IPTU - JUROS;7;;111250060000;IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA – JUROS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1112.50.0.6.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.50.0.0.00.00;1112.50.0.0.00.00;1112.50.0.6.00.00;1112.50.0.6.00.00;1112.50.0.6.00.00;;;;;;24000000000000193;1;
1112.50.0.7.00.00;IPTU  - DÍVIDA ATIVA MULTAS;7;;111250070000;IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA – DÍVIDA ATIVA – MULTAS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1112.50.0.7.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.50.0.0.00.00;1112.50.0.0.00.00;1112.50.0.7.00.00;1112.50.0.7.00.00;1112.50.0.7.00.00;;;;;;24000000000000194;1;
1112.50.0.8.00.00;IPTU -   DÍVIDA ATIVA JUROS;7;;111250080000;IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA – DÍVIDA ATIVA – JUROS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1112.50.0.8.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.50.0.0.00.00;1112.50.0.0.00.00;1112.50.0.8.00.00;1112.50.0.8.00.00;1112.50.0.8.00.00;;;;;;24000000000000195;1;
1112.53.0.0.00.00;ITBI-"INTER VIVOS";5;;111253000000;IMPOSTOS SOBRE TRANSMISSÃO "INTER VIVOS" DE BENS IMÓVEIS E DE DIREITOS REAIS SOBRE IMÓVEIS;S;S;S;1112.53.0.0.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.53.0.0.00.00;1112.53.0.0.00.00;1112.53.0.0.00.00;1112.53.0.0.00.00;1112.53.0.0.00.00;;;;;;24000000000000196;1;
1112.53.0.1.00.00;ITBI-"INTER VIVOS"-PRINCIPAL;7;;111253010000;IMPOSTOS SOBRE TRANSMISSÃO "INTER VIVOS" DE BENS IMÓVEIS E DE DIREITOS REAIS SOBRE IMÓVEIS – PRINCIPAL;S;A;S;1112.53.0.1.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.53.0.0.00.00;1112.53.0.0.00.00;1112.53.0.1.00.00;1112.53.0.1.00.00;1112.53.0.1.00.00;;S;;11125301;;24000000000000197;1;
1112.53.0.1.01.00;ITBI - Inter Vivos -Principal;8;;111253010100;ITBI - Inter Vivos -Principal;S;A;N;1112.53.0.1.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.53.0.0.00.00;1112.53.0.0.00.00;1112.53.0.1.00.00;1112.53.0.1.01.00;1112.53.0.1.01.00;;;;;;24000000000000006;1;
1112.53.0.2.00.00;ITBI-"INTER VIVOS"-MULTAS E JUROS;7;;111253020000;IMPOSTOS SOBRE TRANSMISSÃO "INTER VIVOS" DE BENS IMÓVEIS E DE DIREITOS REAIS SOBRE IMÓVEIS – MULTAS E JUROS;S;A;S;1112.53.0.2.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.53.0.0.00.00;1112.53.0.0.00.00;1112.53.0.2.00.00;1112.53.0.2.00.00;1112.53.0.2.00.00;;;;;;24000000000000198;1;
1112.53.0.3.00.00;ITBI-"INTER VIVOS"- DIVIDA ATIVA;7;;111253030000;IMPOSTOS SOBRE TRANSMISSÃO "INTER VIVOS" DE BENS IMÓVEIS E DE DIREITOS REAIS SOBRE IMÓVEIS – DÍVIDA ATIVA;S;A;S;1112.53.0.3.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.53.0.0.00.00;1112.53.0.0.00.00;1112.53.0.3.00.00;1112.53.0.3.00.00;1112.53.0.3.00.00;;;;;;24000000000000199;1;
1112.53.0.4.00.00;ITBI-"INTER VIVOS"-DIVIDA ATIVA MULTAS JUROS;7;;111253040000;IMPOSTOS SOBRE TRANSMISSÃO "INTER VIVOS" DE BENS IMÓVEIS E DE DIREITOS REAIS SOBRE IMÓVEIS – DÍVIDA ATIVA – MULTAS E JUROS;S;A;S;1112.53.0.4.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.53.0.0.00.00;1112.53.0.0.00.00;1112.53.0.4.00.00;1112.53.0.4.00.00;1112.53.0.4.00.00;;;;;;24000000000000200;1;
1112.53.0.5.00.00;ITBI-"INTER VIVOS"-MULTAS;7;;111253050000;IMPOSTOS SOBRE TRANSMISSÃO "INTER VIVOS" DE BENS IMÓVEIS E DE DIREITOS REAIS SOBRE IMÓVEIS – MULTAS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1112.53.0.5.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.53.0.0.00.00;1112.53.0.0.00.00;1112.53.0.5.00.00;1112.53.0.5.00.00;1112.53.0.5.00.00;;;;;;24000000000000201;1;
1112.53.0.6.00.00;ITBI-"INTER VIVOS"-JUROS;7;;111253060000;IMPOSTOS SOBRE TRANSMISSÃO "INTER VIVOS" DE BENS IMÓVEIS E DE DIREITOS REAIS SOBRE IMÓVEIS – JUROS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1112.53.0.6.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.53.0.0.00.00;1112.53.0.0.00.00;1112.53.0.6.00.00;1112.53.0.6.00.00;1112.53.0.6.00.00;;;;;;24000000000000202;1;
1112.53.0.7.00.00;ITBI-"INTER VIVOS"-DÍVIDA ATIVA MULTAS;7;;111253070000;IMPOSTOS SOBRE TRANSMISSÃO "INTER VIVOS" DE BENS IMÓVEIS E DE DIREITOS REAIS SOBRE IMÓVEIS – DÍVIDA ATIVA – MULTAS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1112.53.0.7.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.53.0.0.00.00;1112.53.0.0.00.00;1112.53.0.7.00.00;1112.53.0.7.00.00;1112.53.0.7.00.00;;;;;;24000000000000203;1;
1112.53.0.8.00.00;ITBI-"INTER VIVOS"- DÍVIDA ATIVA JUROS;7;;111253080000;IMPOSTOS SOBRE TRANSMISSÃO "INTER VIVOS" DE BENS IMÓVEIS E DE DIREITOS REAIS SOBRE IMÓVEIS – DÍVIDA ATIVA – JUROS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1112.53.0.8.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1112.00.0.0.00.00;1112.53.0.0.00.00;1112.53.0.0.00.00;1112.53.0.8.00.00;1112.53.0.8.00.00;1112.53.0.8.00.00;;;;;;24000000000000204;1;
1113.00.0.0.00.00;IMPOSTOS SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA;4;;111300000000;IMPOSTOS SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA;S;S;S;1113.00.0.0.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1113.00.0.0.00.00;1113.00.0.0.00.00;1113.00.0.0.00.00;1113.00.0.0.00.00;1113.00.0.0.00.00;1113.00.0.0.00.00;;;;;;24000000000000205;1;
1113.03.0.0.00.00;IMPOSTO SOBRE A RENDA - RETIDO NA FONTE;5;;111303000000;IMPOSTO SOBRE A RENDA – RETIDO NA FONTE;S;S;S;1113.03.0.0.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1113.00.0.0.00.00;1113.03.0.0.00.00;1113.03.0.0.00.00;1113.03.0.0.00.00;1113.03.0.0.00.00;1113.03.0.0.00.00;;;;;;24000000000000206;1;
1113.03.1.0.00.00;IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO;6;;111303100000;IMPOSTO SOBRE A RENDA – RETIDO NA FONTE – TRABALHO;S;S;S;1113.03.1.0.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1113.00.0.0.00.00;1113.03.0.0.00.00;1113.03.1.0.00.00;1113.03.1.0.00.00;1113.03.1.0.00.00;1113.03.1.0.00.00;;;;;;24000000000000207;1;
1113.03.1.1.00.00;IRRF-TRABALHO-PRINCIPAL;7;;111303110000;IMPOSTO SOBRE A RENDA – RETIDO NA FONTE – TRABALHO – PRINCIPAL;S;A;S;1113.03.1.1.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1113.00.0.0.00.00;1113.03.0.0.00.00;1113.03.1.0.00.00;1113.03.1.1.00.00;1113.03.1.1.00.00;1113.03.1.1.00.00;;S;;11130311;;24000000000000208;1;
1113.03.1.1.01.00;I.R. Retido nas Fontes - Trabalho Assalariado Prin;8;;111303110100;I.R. Retido nas Fontes - Trabalho Assalariado Prin;S;A;N;1113.03.1.1.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1113.00.0.0.00.00;1113.03.0.0.00.00;1113.03.1.0.00.00;1113.03.1.1.00.00;1113.03.1.1.01.00;1113.03.1.1.01.00;;;;;;24000000000000007;1;
1113.03.1.2.00.00;IRRF-TRABALHO-MULTAS E JUROS;7;;111303120000;IMPOSTO SOBRE A RENDA – RETIDO NA FONTE – TRABALHO – MULTAS E JUROS;S;A;S;1113.03.1.2.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1113.00.0.0.00.00;1113.03.0.0.00.00;1113.03.1.0.00.00;1113.03.1.2.00.00;1113.03.1.2.00.00;1113.03.1.2.00.00;;;;;;24000000000000209;1;
1113.03.1.3.00.00;IRRF-TRABALHO- DIVIDA ATIVA;7;;111303130000;IMPOSTO SOBRE A RENDA – RETIDO NA FONTE – TRABALHO – DÍVIDA ATIVA;S;A;S;1113.03.1.3.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1113.00.0.0.00.00;1113.03.0.0.00.00;1113.03.1.0.00.00;1113.03.1.3.00.00;1113.03.1.3.00.00;1113.03.1.3.00.00;;;;;;24000000000000210;1;
1113.03.1.4.00.00;IRRF-TRABALHO-DIVIDA ATIVA MULTAS JUROS;7;;111303140000;IMPOSTO SOBRE A RENDA – RETIDO NA FONTE – TRABALHO – DÍVIDA ATIVA – MULTAS E JUROS;S;A;S;1113.03.1.4.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1113.00.0.0.00.00;1113.03.0.0.00.00;1113.03.1.0.00.00;1113.03.1.4.00.00;1113.03.1.4.00.00;1113.03.1.4.00.00;;;;;;24000000000000211;1;
1113.03.1.5.00.00;IRRF-TRABALHO-MULTAS;7;;111303150000;IMPOSTO SOBRE A RENDA – RETIDO NA FONTE – TRABALHO – MULTAS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1113.03.1.5.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1113.00.0.0.00.00;1113.03.0.0.00.00;1113.03.1.0.00.00;1113.03.1.5.00.00;1113.03.1.5.00.00;1113.03.1.5.00.00;;;;;;24000000000000212;1;
1113.03.1.6.00.00;IRRF-TRABALHO-JUROS;7;;111303160000;IMPOSTO SOBRE A RENDA – RETIDO NA FONTE – TRABALHO – JUROS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1113.03.1.6.00.00;;;;;1000.00.0.0.00.00;1100.00.0.0.00.00;1110.00.0.0.00.00;1113.00.0.0.00.00;1113.03.0.0.00.00;1113.03.1.0.00.00;1113.03.1.6.00.00;1113.03.1.6.00.00;1113.03.1.6.00.00;;;;;;24000000000000213;1;
